school_name,enrolled_population,dtp_coverage_rate_percent,dtp_religious_exemption_rate_percent,mmr_coverage_rate_percent,mmr_religious_exemption_rate_percent
General Mercer Jr P.S.,130,90.8,4.6,90.8,4.6
George Anderson P.S.,91,100,0,96.7,0
George B Little P.S.,294,95.2,0.3,96.3,0.3
George Harvey C.I.,401,80,0.7,85.8,0.7
George P Mackie Jr P.S.,77,93.5,5.2,93.5,5.2
George Peck P.S.,187,90.4,1.1,93.6,0.5
George R Gauld Jr School,75,96,0,100,0
George S Henry Academy,338,81.1,1.2,92.3,1.2
George Syme Community School,226,92,2.2,93.8,2.2
George Webster Elementary,538,87.7,0.7,90,0.7
Georges Vanier S.S.,747,76.2,0.3,86.1,0.3
Givins/Shaw Jr P.S.,194,92.8,3.6,93.3,3.6
Glamorgan Jr P.S.,327,97.6,0,96.9,0
Gledhill Jr P.S.,258,96.1,2.7,96.9,2.7
Glen Ames Sr P.S.,414,90.8,1.7,97.6,1.7
Glen Park P.S.,307,96.4,2.9,96.1,2.9
Glen Ravine Jr P.S.,179,98.9,0.6,98.9,0.6
Glenview Sr P.S.,768,90.9,1,98,1
Golf Road Jr P.S.,190,98.4,0,99.5,0
Gordon A Brown Middle School,368,90.5,4.1,94,4.1
Gosford P.S.,150,95.3,0,98,0
Gracedale P.S.,363,93.9,1.1,93.7,1.1
Gracefield P.S.,140,90.7,0.7,94.3,0.7
Greenholme JMS,234,96.2,0,98.7,0
Greenwood S.S.,123,61.8,0,64.2,0
Grenoble P.S.,623,95.5,0.8,95.5,0.8
Grey Owl Jr P.S.,143,91.6,2.8,91.6,2.8
Guildwood Jr P.S.,63,92.1,7.9,92.1,7.9
Gulfstream P.S.,435,91.3,1.1,94,1.1
H A Halbert Jr P.S.,136,95.6,0.7,96.3,0.7
H J Alexander Community School,304,91.8,1.6,91.4,1.6
Harbord C.I.,1014,84.4,2.9,96.1,2.9
Harrison P.S.,102,97.1,1,97.1,1
Harwood P.S.,130,90.8,0.8,96.2,0.8
Hawthorne II Bilingual Alternative Jr,119,93.3,5.9,92.4,5.9
Heather Heights Jr P.S.,118,94.1,0.8,92.4,0.8
Henry Hudson Senior P.S.,287,92.7,0.7,96.9,0.7
Henry Kelsey Senior P.S.,298,94,0.3,98.3,0.3
Heritage Park P.S.,237,95.4,0.8,95.4,0.8
Heydon Park S.S.,91,75.8,2.2,97.8,2.2
High Park Alternative Jr,96,82.3,13.5,84.4,13.5
Highcastle P.S.,225,97.8,0.4,97.3,0.4
Highfield Jr School,381,93.4,0.5,93.4,0.5
Highland Creek P.S.,138,97.1,0.7,96.4,0.7
Highland Heights Jr P.S.,115,96.5,0.9,96.5,0.9
Highland Jr High School,482,94,1,96.9,1
Highview P.S.,101,89.1,0,90.1,0
Hillcrest Community School,224,94.2,4.5,94.2,4.5
Hillmount P.S.,121,93.4,2.5,94.2,2.5
Hilltop Middle School,558,91.9,3.6,94.3,3.6
Hodgson Sr P.S.,528,93.9,2.7,95.6,2.7
Hollycrest Middle School,475,90.7,3.4,94.3,3.4
Hollywood P.S.,224,97.3,0.9,97.3,0.9
Holy Angels C.S.,368,88,2.2,90.2,2.2
Holy Child C.S.,227,87.7,0,91.2,0
